"state","county","fipscode","fipscode2","office","district","total.votes","dem","rep","other"
"AZ","Apache","04001","0400100000","US Senate","statewide",25087,16298,7810,979
"AZ","Cochise","04003","0400300000","US Senate","statewide",45549,17383,26929,1237
"AZ","Coconino","04005","0400500000","US Senate","statewide",55280,34240,19249,1791
"AZ","Gila","04007","0400700000","US Senate","statewide",20499,7643,12180,676
"AZ","Graham","04009","0400900000","US Senate","statewide",10606,3368,6870,368
"AZ","Greenlee","04011","0401100000","US Senate","statewide",2567,1042,1416,109
"AZ","La Paz","04012","0401200000","US Senate","statewide",5073,1609,3265,199
"AZ","Maricopa","04013","0401300000","US Senate","statewide",1437952,732761,672505,32686
"AZ","Mohave","04015","0401500000","US Senate","statewide",71469,19214,50209,2046
"AZ","Navajo","04017","0401700000","US Senate","statewide",36640,16624,18767,1249
"AZ","Pima","04019","0401900000","US Senate","statewide",390568,221242,160550,8776
"AZ","Pinal","04021","0402100000","US Senate","statewide",117395,50395,63782,3218
"AZ","Santa Cruz","04023","0402300000","US Senate","statewide",13488,9241,3828,419
"AZ","Yavapai","04025","0402500000","US Senate","statewide",108368,40160,65308,2900
"AZ","Yuma","04027","0402700000","US Senate","statewide",43767,19880,22532,1355
"CA","Alameda","06001","0600100000","US Senate","statewide",545327,545327,NA,NA
"CA","Alpine","06003","0600300000","US Senate","statewide",547,547,NA,NA
"CA","Amador","06005","0600500000","US Senate","statewide",14079,14079,NA,NA
"CA","Butte","06007","0600700000","US Senate","statewide",75526,75526,NA,NA
"CA","Calaveras","06009","0600900000","US Senate","statewide",17388,17388,NA,NA
"CA","Colusa","06011","0601100000","US Senate","statewide",4682,4682,NA,NA
"CA","Contra Costa","06013","0601300000","US Senate","statewide",381097,381097,NA,NA
"CA","Del Norte","06015","0601500000","US Senate","statewide",6844,6844,NA,NA
"CA","El Dorado","06017","0601700000","US Senate","statewide",72563,72563,NA,NA
"CA","Fresno","06019","0601900000","US Senate","statewide",217048,217048,NA,NA
"CA","Glenn","06021","0602100000","US Senate","statewide",6729,6729,NA,NA
"CA","Humboldt","06023","0602300000","US Senate","statewide",47655,47655,NA,NA
"CA","Imperial","06025","0602500000","US Senate","statewide",30271,30271,NA,NA
"CA","Inyo","06027","0602700000","US Senate","statewide",5876,5876,NA,NA
"CA","Kern","06029","0602900000","US Senate","statewide",166609,166609,NA,NA
"CA","Kings","06031","0603100000","US Senate","statewide",25347,25347,NA,NA
"CA","Lake","06033","0603300000","US Senate","statewide",18459,18459,NA,NA
"CA","Lassen","06035","0603500000","US Senate","statewide",6818,6818,NA,NA
"CA","Los Angeles","06037","0603700000","US Senate","statewide",2711211,2711211,NA,NA
"CA","Madera","06039","0603900000","US Senate","statewide",32316,32316,NA,NA
"CA","Marin","06041","0604100000","US Senate","statewide",122957,122957,NA,NA
"CA","Mariposa","06043","0604300000","US Senate","statewide",6688,6688,NA,NA
"CA","Mendocino","06045","0604500000","US Senate","statewide",30642,30642,NA,NA
"CA","Merced","06047","0604700000","US Senate","statewide",51644,51644,NA,NA
"CA","Modoc","06049","0604900000","US Senate","statewide",2618,2618,NA,NA
"CA","Mono","06051","0605100000","US Senate","statewide",4198,4198,NA,NA
"CA","Monterey","06053","0605300000","US Senate","statewide",106882,106882,NA,NA
"CA","Napa","06055","0605500000","US Senate","statewide",51194,51194,NA,NA
"CA","Nevada","06057","0605700000","US Senate","statewide",46109,46109,NA,NA
"CA","Orange","06059","0605900000","US Senate","statewide",922492,922492,NA,NA
"CA","Placer","06061","0606100000","US Senate","statewide",143311,143311,NA,NA
"CA","Plumas","06063","0606300000","US Senate","statewide",7243,7243,NA,NA
"CA","Riverside","06065","0606500000","US Senate","statewide",547976,547976,NA,NA
"CA","Sacramento","06067","0606700000","US Senate","statewide",455520,455520,NA,NA
"CA","San Benito","06069","0606900000","US Senate","statewide",17978,17978,NA,NA
"CA","San Bernardino","06071","0607100000","US Senate","statewide",466463,466463,NA,NA
"CA","San Diego","06073","0607300000","US Senate","statewide",995192,995192,NA,NA
"CA","San Francisco","06075","0607500000","US Senate","statewide",352121,352121,NA,NA
"CA","San Joaquin","06077","0607700000","US Senate","statewide",171439,171439,NA,NA
"CA","San Luis Obispo","06079","0607900000","US Senate","statewide",107269,107269,NA,NA
"CA","San Mateo","06081","0608100000","US Senate","statewide",267815,267815,NA,NA
"CA","Santa Barbara","06083","0608300000","US Senate","statewide",136491,136491,NA,NA
"CA","Santa Clara","06085","0608500000","US Senate","statewide",568508,568508,NA,NA
"CA","Santa Cruz","06087","0608700000","US Senate","statewide",111594,111594,NA,NA
"CA","Shasta","06089","0608900000","US Senate","statewide",55624,55624,NA,NA
"CA","Sierra","06091","0609100000","US Senate","statewide",1314,1314,NA,NA
"CA","Siskiyou","06093","0609300000","US Senate","statewide",14702,14702,NA,NA
"CA","Solano","06095","0609500000","US Senate","statewide",132680,132680,NA,NA
"CA","Sonoma","06097","0609700000","US Senate","statewide",193692,193692,NA,NA
"CA","Stanislaus","06099","0609900000","US Senate","statewide",136099,136099,NA,NA
"CA","Sutter","06101","0610100000","US Senate","statewide",24667,24667,NA,NA
"CA","Tehama","06103","0610300000","US Senate","statewide",16688,16688,NA,NA
"CA","Trinity","06105","0610500000","US Senate","statewide",4584,4584,NA,NA
"CA","Tulare","06107","0610700000","US Senate","statewide",82770,82770,NA,NA
"CA","Tuolumne","06109","0610900000","US Senate","statewide",19054,19054,NA,NA
